"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 28 13:43:39 CST 2021","Sun Mar 28 13:44:30 CST 2021","51150","testCase","testSN01","testSN01","","","测试用例01","test_01_00001"
"passed","Sun Mar 28 13:43:39 CST 2021","Sun Mar 28 13:44:29 CST 2021","49990","testCase","testSN01","testSN01","","","测试用例01","test_01_00002"
